RANKDetermined by total points. The athlete with the fewest points wins.,NAME,POINTSThe sum of an athlete's workout rankings. Based on a points-per-place ranking system.,18.1,18.2,18.2A,18.3,18.4,18.5
960,"JACOBWHEELER
Australasia
Age 25
156 cm | 68 kg
View Profile",12512,"363rd(437 reps)13 rounds +
8 toes-to-bars
10 clean & jerks
3 caloriesJudged by Stephen Bigg at CrossFit Esplanade.","33rd(3:59)110 reps
280 lb.(3:59)Judged by Stephen Bigg at CrossFit Esplanade.",11536th(280 lb)280 lb.(3:59)Judged by Stephen Bigg at CrossFit Esplanade.,"120th(814 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
100 double-unders
18 snatches(13:21)Judged by Danae Bigg at CrossFit Esplanade.",258th(8:41)165 reps(8:41)Judged by Danae Bigg at CrossFit Esplanade.,"202nd(169 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 21 PU 
1 thr.Judged by Danae Bigg at CrossFit Esplanade."
961,"JOHNHITCHCOCK
West Coast
Age 28
69 in | 192 lb
View Profile",12516,"719th(428 reps)13 rounds +
8 toes-to-bars
4 clean & jerksJudged by Gary Borjas at CrossFit Excel.","4064th(5:20)110 reps
335 lb.(5:20)Judged by Gary Borjas at CrossFit Excel.",862nd(335 lb)335 lb.(5:20)Judged by Gary Borjas at CrossFit Excel.,"4831st(657 reps)1 round +
100 double-unders
20 overhead squats
73 double-unders(11:52)Judged by alex avila at CrossFit Excel.","1321st(149 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
50 ft. handstand walk
3 deadlifts(9:00)Judged by Casey Wichert at CrossFit Excel.","719th(158 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 11 PUJudged by Gary Borjas at CrossFit Excel."
962,"BRADLEYALCOCK
West Coast
Age 35
67 in | 170 lb
View Profile",12523,"1871st(409 reps)12 rounds +
8 toes-to-bars
10 clean & jerks
7 caloriesJudged by Kevin Longmeier at CrossFit Duratus.","129th(4:11)110 reps
298 lb.(4:11)Judged by Kevin Longmeier at CrossFit Duratus.",6019th(298 lb)298 lb.(4:11)Judged by Kevin Longmeier at CrossFit Duratus.,"335th(796 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
100 double-unders(11:10)Judged by Kevin Longmeier at CrossFit Duratus.","2675th(137 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
5 ft. handstand walk(8:53)Judged by Kevin Longmeier at CrossFit Duratus.","1494th(148 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 1 PUJudged by Kevin Longmeier at CrossFit Duratus."
963,"RIKARDLANNER
Asia
Age 40
186 cm | 210 lb
View Profile",12526,"719th(428 reps)13 rounds +
8 toes-to-bars
4 clean & jerksJudged by Nathalie Bruynooghe at CrossFit Phuket.","2191st(4:59)110 reps
325 lb.(4:59)Judged by Stefan Northfield at CrossFit Phuket.",1543rd(325 lb)325 lb.(4:59)Judged by Stefan Northfield at CrossFit Phuket.,"5227th(648 reps)1 round +
100 double-unders
20 overhead squats
64 double-unders(11:46)Judged by Billy Pullen at CrossFit Phuket.",156th(8:19)165 reps(8:19)Judged by Billy Pullen at CrossFit Phuket.,"2690th(141 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
15 thr.Judged by Billy Pullen at CrossFit Phuket."
964,"TERRYROSE
West Coast
Age 41
71 in | 210 lb
View Profile",12535,"446th(434 reps)13 rounds +
8 toes-to-bars
10 clean & jerksJudged by Juanita Van Slyke at CrossFit Olympia.","5645th(5:32)110 reps
325 lb.(5:32)Judged by Juanita Van Slyke at CrossFit Olympia.",1563rd(325 lb)325 lb.(5:32)Judged by Juanita Van Slyke at CrossFit Olympia.,"3079th(686 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
2 ring muscle-ups(13:36)Judged by Juanita Van Slyke at CrossFit Olympia.","1157th(150 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
50 ft. handstand walk
4 deadlifts(6:57)Judged by Juanita Van Slyke at CrossFit Olympia.","645th(159 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 12 PUJudged by Mandy Rose at CrossFit Olympia."
964,"YOHANNGIGORD
Europe South
Age 29
176 cm | 187 lb
View Profile",12535,"719th(428 reps) 13 rounds +
8 toes-to-bars
4 clean & jerks","1097th(4:42) 110 reps
293 lb.(4:42)",7619th(293 lb) 293 lb.(4:42),"694th(737 reps) 1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
41 double-unders(11:50)","1323rd(148 reps) 21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
50 ft. handstand walk
2 deadlifts(7:21)","1083rd(153 reps) 3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 6 PU"
966,"COLINCARTEE
North Central
Age 27
72 in | 218 lb
View Profile",12548,"1078th(421 reps)13 rounds +
5 toes-to-barsJudged by Danielle Beaudreault at CrossFit OC3.","2897th(5:08)110 reps
357 lb.(5:08)Judged by Kolton O'Day at CrossFit OC3.",183rd(357 lb)357 lb.(5:08)Judged by Kolton O'Day at CrossFit OC3.,"465th(771 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
75 double-unders(11:17)Judged by Jessie Cartee at CrossFit OC3.","7694th(120 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
45 ft. handstand walk(8:08)Judged by Jessie Cartee at CrossFit OC3.","231st(168 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 21 PUJudged by Jessie Cartee at CrossFit OC3."
967,"WACHMICKAEL
Europe South
Age 34
186 cm | 207 lb
View Profile",12553,"541st(433 reps)13 rounds +
8 toes-to-bars
9 clean & jerksJudged by Guillaume Guillou at CrossFit Fréjus.","161st(4:13)110 reps
291 lb.(4:13)Judged by Guillaume Guillou at CrossFit Fréjus.",7940th(291 lb)291 lb.(4:13)Judged by Guillaume Guillou at CrossFit Fréjus.,"1835th(691 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
7 ring muscle-ups(12:40)Judged by Guillaume Guillou at CrossFit Fréjus.","1220th(150 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
50 ft. handstand walk
4 deadlifts(8:05)Judged by Guillaume Guillou at CrossFit Fréjus.","856th(156 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 9 PUJudged by Guillaume Guillou at CrossFit Fréjus."
967,"JOSEPHDEVANE
West Coast
Age 26
71 in | 185 lb
View Profile",12553,"3279th(397 reps)12 rounds +
8 toes-to-bars
5 clean & jerksJudged by James Scharnick at Certus CrossFit.","2191st(4:59)110 reps
309 lb.(4:59)Judged by Jason Andrews at Certus CrossFit.",3656th(309 lb)309 lb.(4:59)Judged by Jason Andrews at Certus CrossFit.,"759th(729 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
33 double-unders(11:49)Judged by James Scharnick at Certus CrossFit.","597th(160 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
50 ft. handstand walk
9 deadlifts
25 ft. handstand walk(8:38)Judged by James Scharnick at Certus CrossFit.","2071st(144 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
18 thr.Judged by James Scharnick at Certus CrossFit."
969,"MITCHELLSANCHEZ
West Coast
Age 27
View Profile",12557,"1029th(422 reps)13 rounds +
6 toes-to-barsJudged by Michelle Coppess at Wildland CrossFit.","2123rd(4:58)110 reps
315 lb.(4:58)Judged by Michelle Coppess at Wildland CrossFit.",2631st(315 lb)315 lb.(4:58)Judged by Michelle Coppess at Wildland CrossFit.,"3101st(686 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
2 ring muscle-ups(13:40)Judged by Jeff Hansen at Wildland CrossFit.","2052nd(141 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
25 ft. handstand walk(8:22)Judged by Michelle Coppess at Wildland CrossFit.","1621st(147 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr.Judged by Jeff Hansen at Wildland CrossFit."
970,"STORMPATTERSON
Canada East
Age 27
73 in | 190 lb
View Profile",12580,"446th(434 reps)13 rounds +
8 toes-to-bars
10 clean & jerksJudged by Callum Owen at CrossFit Queen Street.","6548th(5:38)110 reps
317 lb.(5:38)Judged by Jake Forsythe at CrossFit Queen Street.",2345th(317 lb)317 lb.(5:38)Judged by Jake Forsythe at CrossFit Queen Street.,"596th(754 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
58 double-unders(12:21)Judged by Callum Owen at CrossFit Queen Street.",151st(8:16)165 reps(8:16)Judged by Sean Desjardins at CrossFit Queen Street.,"2494th(142 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
16 thr.Judged by Sean Desjardins at CrossFit Queen Street."
971,"CASEYO'LEARY
North East
Age 24
67 in | 185 lb
View Profile",12622,"1222nd(418 reps)13 rounds +
2 toes-to-barsJudged by Michael Van Bourgondien at CrossFit Undivided.","596th(4:30)110 reps
287 lb.(4:30)Judged by Joey Catizone at CrossFit Undivided.",8806th(287 lb)287 lb.(4:30)Judged by Joey Catizone at CrossFit Undivided.,"192nd(806 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
100 double-unders
10 snatches(13:40)Judged by Joseph Russo at CrossFit Undivided.","1024th(152 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
50 ft. handstand walk
6 deadlifts(7:43)Judged by Joey Catizone at CrossFit Undivided.","782nd(157 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 10 PUJudged by Kristine Best at CrossFit Undivided."
972,"BRANDONARNDT
North Central
Age 26
67 in | 180 lb
View Profile",12638,"3080th(399 reps)12 rounds +
8 toes-to-bars
7 clean & jerksJudged by Jared Kissinger at CrossFit Adept.","649th(4:32)110 reps
300 lb.(4:32)Judged by Jared Kissinger at CrossFit Adept.",5399th(300 lb)300 lb.(4:32)Judged by Jared Kissinger at CrossFit Adept.,"651st(743 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
47 double-unders(11:45)Judged by Jared Kissinger at CrossFit Adept.",169th(8:22)165 reps(8:22)Judged by Jared Kissinger at CrossFit Adept.,"2690th(141 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
15 thr.Judged by Jared Kissinger at CrossFit Adept."
973,"JACOBFLOEN
North Central
Age 24
71 in | 205 lb
View Profile",12644,"759th(427 reps)13 rounds +
8 toes-to-bars
3 clean & jerksJudged by Kate VerVelde at CrossFit BKN.","2447th(5:02)110 reps
325 lb.(5:02)Judged by Jesse Deboom at CrossFit BKN.",1545th(325 lb)325 lb.(5:02)Judged by Jesse Deboom at CrossFit BKN.,"513th(766 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
70 double-unders(11:41)Judged by Kate VerVelde at CrossFit BKN.","5110th(127 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
6 deadlifts(6:05)Judged by Kate VerVelde at CrossFit BKN.","2270th(143 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
17 thr.Judged by Kate VerVelde at CrossFit BKN."
974,"DAVID KERRYCOFER
Mid Atlantic
Age 27
69 in | 178 lb
View Profile",12651,"1787th(410 reps)12 rounds +
8 toes-to-bars
10 clean & jerks
8 caloriesJudged by Brandon Parr at CrossFit 7 Hills.","1621st(4:51)110 reps
322 lb.(4:51)Judged by Brandon Mills at CrossFit 7 Hills.",1818th(322 lb)322 lb.(4:51)Judged by Brandon Mills at CrossFit 7 Hills.,"3397th(685 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
1 ring muscle-ups(13:50)Judged by Brandon Parr at CrossFit 7 Hills.","2407th(139 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
15 ft. handstand walk(8:47)Judged by Brandon Mills at CrossFit 7 Hills.","1621st(147 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr.Judged by Brandon Mills at CrossFit 7 Hills."
975,"OLEGLASCENKO
Europe Central
Age 20
176 cm | 80 kg
View Profile",12660,"34th (462 reps)14 rounds +
8 toes-to-bars
6 clean & jerksJudged by Alina Eloi at Iron Phoenix CrossFit.","788th(4:35)110 reps
287 lb.(4:35)Judged by Alina Eloi at Iron Phoenix CrossFit.",8810th(287 lb)287 lb.(4:35)Judged by Alina Eloi at Iron Phoenix CrossFit.,"369th(790 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
94 double-unders(11:02)Judged by Alina Eloi at Iron Phoenix CrossFit.","2172nd(141 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
25 ft. handstand walk(8:40)Judged by Alina Eloi at Iron Phoenix CrossFit.","487th(162 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 15 PUJudged by Alina Eloi at Iron Phoenix CrossFit."
976,"BRANDONBIZIER
North East
Age 23
69 in | 200 lb
View Profile",12669,"3845th(393 reps)12 rounds +
8 toes-to-bars
1 clean & jerksJudged by Ian Marquis at Champlain Valley CrossFit.","621st(4:31)110 reps
317 lb.(4:31)Judged by Ben Epstein at Champlain Valley CrossFit.",2257th(317 lb)317 lb.(4:31)Judged by Ben Epstein at Champlain Valley CrossFit.,"4650th(662 reps)1 round +
100 double-unders
20 overhead squats
78 double-unders(11:48)Judged by Ian Marquis at Champlain Valley CrossFit.","577th(160 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
50 ft. handstand walk
9 deadlifts
25 ft. handstand walk(8:32)Judged by Ian Marquis at Champlain Valley CrossFit.","719th(158 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 11 PUJudged by Ian Marquis at Champlain Valley CrossFit."
977,"ROYVOSS
West Coast
Age 33
70 in | 199 lb
View Profile",12677,"759th(427 reps)13 rounds +
8 toes-to-bars
3 clean & jerksJudged by Eric Wilfong at CrossFit Fortius South.","3732nd(5:17)110 reps
340 lb.(5:17)Judged by Brittany Simon at CrossFit Fortius South.",613th(340 lb)340 lb.(5:17)Judged by Brittany Simon at CrossFit Fortius South.,"5957th(631 reps)1 round +
100 double-unders
20 overhead squats
47 double-unders(11:57)Judged by Brittany Simon at CrossFit Fortius South.","701st(157 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
50 ft. handstand walk
9 deadlifts
10 ft. handstand walk(8:41)Judged by Alejandra Lopez at CrossFit Fortius South.","915th(155 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 8 PUJudged by Antonio Acosta at CrossFit Fortius East."
978,"BRANDONLOPEZ
South West
Age 33
75 in | 216 lb
View Profile",12681,"1222nd(418 reps)13 rounds +
2 toes-to-barsJudged by Stephanie Corbaley at Bion CrossFit.","2123rd(4:58)110 reps
330 lb.(4:58)Judged by Stephen Penrod at Bion CrossFit.",1153rd(330 lb)330 lb.(4:58)Judged by Stephen Penrod at Bion CrossFit.,"4129th(677 reps)1 round +
100 double-unders
20 overhead squats
93 double-unders(11:20)Judged by Amos Sotelo at Old Pueblo CrossFit.","2722nd(136 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts(4:53)Judged by Jeff Fisher at CrossFit Lanista.","1332nd(150 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 3 PUJudged by Stephanie Corbaley at Bion CrossFit."
979,"SHEAMOODY
Central East
Age 31
69 in | 180 lb
View Profile",12683,"338th(438 reps)13 rounds +
8 toes-to-bars
10 clean & jerks
4 caloriesJudged by Kyle French at CrossFit 606.","4196th(5:21)110 reps
315 lb.(5:21)Judged by Kyle French at CrossFit 606.",2668th(315 lb)315 lb.(5:21)Judged by Kyle French at CrossFit 606.,"4074th(679 reps)1 round +
100 double-unders
20 overhead squats
95 double-unders(11:19)Judged by Kyle French at CrossFit 606.",244th(8:39)165 reps(8:39)Judged by Kyle French at CrossFit 606.,"1163rd(152 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 5 PUJudged by Kyle French at CrossFit 606."
980,"NIKITAYUNDOV
Europe North
Age 25
178 cm | 93 kg
View Profile",12689,"446th(434 reps)13 rounds +
8 toes-to-bars
10 clean & jerksJudged by Marina Struzhko at CrossFit Kaban.","110th(4:09)110 reps
308 lb.(4:09)Judged by Marina Struzhko at CrossFit Kaban.",3810th(308 lb)308 lb.(4:09)Judged by Marina Struzhko at CrossFit Kaban.,"5427th(644 reps) 1 round +
100 double-unders
20 overhead squats
60 double-unders(12:10)","2497th(138 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
10 ft. handstand walk(8:45)Judged by Marina Struzhko at CrossFit Kaban.","399th(164 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 17 PUJudged by Marina Struzhko at CrossFit Kaban."
981,"MICHAELSCOTT
South Central
Age 31
69 in | 189 lb
View Profile",12703,"2860th(401 reps)12 rounds +
8 toes-to-bars
9 clean & jerksJudged by Adreil Ramirez at CrossFit Katy.","1054th(4:41)110 reps
318 lb.(4:41)Judged by Adreil Ramirez at CrossFit Katy.",2187th(318 lb)318 lb.(4:41)Judged by Adreil Ramirez at CrossFit Katy.,"4571st(664 reps)1 round +
100 double-unders
20 overhead squats
80 double-unders(11:39)Judged by Adreil Ramirez at CrossFit Katy.",410th(8:58)165 reps(8:58)Judged by Adreil Ramirez at CrossFit Katy.,"1621st(147 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr.Judged by Adreil Ramirez at CrossFit Katy."
982,"PARKJAESUNG
Asia
Age 27
160 lb
View Profile",12725,"1602nd(413 reps)12 rounds +
8 toes-to-bars
10 clean & jerks
11 caloriesJudged by Sung Joon Kang at CrossFit We Can Do It.","393rd(4:24)110 reps
300 lb.(4:24)Judged by Junho Kim at CrossFit We Can Do It.",5393rd(300 lb)300 lb.(4:24)Judged by Junho Kim at CrossFit We Can Do It.,"757th(729 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
33 double-unders(11:26)Judged by Junho Kim at CrossFit We Can Do It.","3935th(131 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
10 deadlifts(6:19)Judged by Junho Kim at CrossFit We Can Do It.","645th(159 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 12 PUJudged by Junho Kim at CrossFit We Can Do It."
983,"CHRISTIANRAMON
North Central
Age 27
72 in | 205 lb
View Profile",12761,"631st(430 reps)13 rounds +
8 toes-to-bars
6 clean & jerksJudged by Jerry Kleidosty at CrossFit Kinesis.","352nd(4:22)110 reps
317 lb.(4:22)Judged by Joel Dizona at CrossFit Kinesis.",2247th(317 lb)317 lb.(4:22)Judged by Joel Dizona at CrossFit Kinesis.,"427th(778 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
82 double-unders(12:12)Judged by Joel Dizona at CrossFit Kinesis.","7772nd(120 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
45 ft. handstand walk(8:57)Judged by Cody Bakker at CrossFit Kinesis.","1332nd(150 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 3 PUJudged by Briana Siegert at CrossFit Kinesis."
984,"NATHANBEVERIDGE
Canada West
Age 37
74 in | 200 lb
View Profile",12785,"1787th(410 reps)12 rounds +
8 toes-to-bars
10 clean & jerks
8 caloriesJudged by Kelsey Jack at CrossFit Fraser Valley.","5805th(5:33)110 reps
328 lb.(5:33)Judged by Kelsey Jack at CrossFit Fraser Valley.",1289th(328 lb)328 lb.(5:33)Judged by Kelsey Jack at CrossFit Fraser Valley.,"1208th(695 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
11 ring muscle-ups(12:21)Judged by Kelsey Jack at CrossFit Fraser Valley.","851st(155 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
50 ft. handstand walk
9 deadlifts(8:59)Judged by Kelsey Jack at CrossFit Fraser Valley.","1845th(146 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
20 thr.Judged by Kelsey Jack at CrossFit Fraser Valley."
985,"CHADKACKERT
South Central
Age 31
68 in | 192 lb
View Profile",12805,"5560th(384 reps)12 rounds +
0 toes-to-barsJudged by Elizabeth Monaco at CrossFit Dallas Central.","2191st(4:59)110 reps
333 lb.(4:59)Judged by Thomas Domingue at CrossFit Dallas Central.",995th(333 lb)333 lb.(4:59)Judged by Thomas Domingue at CrossFit Dallas Central.,"1908th(691 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
7 ring muscle-ups(13:06)Judged by Corey McMullen at CrossFit Dallas Central.","739th(156 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
50 ft. handstand walk
9 deadlifts
5 ft. handstand walk(8:50)Judged by Spencer Nix at CrossFit Dallas Central.","1412th(149 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 2 PUJudged by Spencer Nix at CrossFit Dallas Central."
